nom,prenom,email,sexe,nationalite,telephone,ects,date_admission,pays,ville,universite,entreprise,nouveau_universite,type_contrat,duree_contrat,activite,etude
Christean,Leatherland,cleatherlandd@npr.org,Female,China,+86 137 478 9310,16,9/12/2016,Chine,Pekin,SUPINFO de Pekin,CAPGEMINI,Tianjin University of Technology,CDD,54,"'JPO','Salon etudiant','JoForum'",finish
Xaviera,Conre,xconree@amazonaws.com,Female,China,+86 668 139 5103,63,27/8/2013,Chine,Pekin,SUPINFO de Pekin,AFRIK-SOLUTION,Anhui University of Finance and Economics,CDI,9,"'JPO','Salon etudiant','JoForum'",finish
Cissiee,Levington,clevingtonf@yellowbook.com,Female,Philippines,+63 767 122 9570,25,24/11/2015,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,IBM,San Beda College,CDD,32,"'JPO','Salon etudiant','JoForum'",stop
Meryl,Crumbie,mcrumbieg@lycos.com,Male,Pakistan,+92 417 405 9279,68,24/7/2016,Maurice,Port Louis,SUPINFO de Port Louis,,Government College University Lahore,,,"'JPO','Salon etudiant','JoForum'",finish
Michel,Keppel,mkeppelh@sourceforge.net,Male,United States,+1 602 583 4155,70,28/4/2010,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,CDISCOUNT,Manhattan Christian College,CDI,77,"'JPO','Salon etudiant','JoForum'",finish
Genevra,Jeffcoat,gjeffcoati@google.com.hk,Female,Philippines,+63 444 968 5182,61,21/2/2012,Maroc,Casablanca,SUPINFO de Casablanca,CONNEXTIC,University of lloilo,Alternance,77,"'JPO','Salon etudiant','JoForum'",stop
Dallas,Roycraft,droycraftj@telegraph.co.uk,Female,Japan,+81 688 130 4866,9,20/11/2016,Reunion,Saint Denis,SUPINFO de Saint Denis,AKKA,Nagoya City University,CDD,67,"'JPO','Salon etudiant','JoForum'",continue
Wendall,Seniour,wseniourk@about.com,Male,Armenia,+374 552 280 0722,51,11/3/2018,Maroc,Casablanca,SUPINFO de Casablanca,CISCO,State Engineering University of Armenia,Interim,17,"'JPO','Salon etudiant','JoForum'",finish
Cassondra,Bawcock,cbawcockl@addthis.com,Female,Tunisia,+216 598 215 5942,17,27/3/2011,Chine,Pekin,SUPINFO de Pekin,,Université de Monastir,,,"'JPO','Salon etudiant','JoForum'",continue
Cesar,Swabey,cswabeym@twitpic.com,Male,Brazil,+55 602 193 0598,19,27/5/2017,Maurice,Port Louis,SUPINFO de Port Louis,SHINKA,Faculdade Italo Brasileira,Interim,27,"'JPO','Salon etudiant','JoForum'",finish
Tabitha,MacCafferky,tmaccafferkyn@topsy.com,Female,Brazil,+55 837 456 8809,33,2/10/2010,Belgique,Bruxelle,SUPINFO de Bruxelle,CISCO,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória,CTT,5,"'JPO','Salon etudiant','JoForum'",finish
Gunther,Humbey,ghumbeyo@dell.com,Male,Brazil,+55 318 860 1781,25,11/10/2017,Reunion,Saint Denis,SUPINFO de Saint Denis,,Universidade Federal Rural do Rio de Janeiro,,,"'JPO','Salon etudiant','JoForum'",stop
Melodie,Thamelt,mthameltp@latimes.com,Female,China,+86 639 592 6623,20,1/8/2020,Maurice,Port Louis,SUPINFO de Port Louis,AXXA,Tibet University of Nationalities,CTT,70,"'JPO','Salon etudiant','JoForum'",continue
Zaccaria,Josifovitz,zjosifovitzq@canalblog.com,Male,China,+86 217 451 1093,18,19/4/2018,Maurice,Port Louis,SUPINFO de Port Louis,DIGIT CONCEPT,Beijing Polytechnic University,CDD,54,"'JPO','Salon etudiant','JoForum'",continue
Kaitlyn,Putnam,kputnamr@illinois.edu,Female,China,+86 518 894 5699,9,18/10/2012,Maroc,Casablanca,SUPINFO de Casablanca,,Zhejiang Normal University,,,"'JPO','Salon etudiant','JoForum'",continue
Ahmad,Yepiskopov,ayepiskopovs@sogou.com,Male,Kenya,+254 118 949 1107,59,11/7/2015,Maroc,Casablanca,SUPINFO de Casablanca,SOFTTEAMS,Maasai Mara University,Alternance,61,"'JPO','Salon etudiant','JoForum'",stop
Ericha,Blanchette,eblanchettet@360.cn,Female,Indonesia,+62 504 241 1548,66,23/3/2012,France,Clermont Ferrand,SUPINFO de Clermont Ferrand,,Politeknik Negeri Semarang,,,"'JPO','Salon etudiant','JoForum'",finish
Janean,Rosenwald,jrosenwaldu@theguardian.com,Female,Peru,+51 216 901 5497,48,10/1/2011,Maurice,Port Louis,SUPINFO de Port Louis,AFROLOGIX,Pontificia Universidad Católica del Perú,CDD,64,"'JPO','Salon etudiant','JoForum'",finish
Clarabelle,Eate,ceatev@miibeian.gov.cn,Female,Japan,+81 637 998 7542,5,5/3/2017,Reunion,Saint Denis,SUPINFO de Saint Denis,,Hitotsubashi University,,,"'JPO','Salon etudiant','JoForum'",continue
Hobart,Petri,hpetriw@nsw.gov.au,Male,China,+86 954 652 0306,43,7/1/2014,Maroc,Casablanca,SUPINFO de Casablanca,DIGIT CONCEPT,Tibet University,Interim,43,"'JPO','Salon etudiant','JoForum'",stop
Shaughn,Filipov,sfilipovx@hud.gov,Male,Kazakhstan,+7 188 519 4953,64,6/7/2020,Maurice,Port Louis,SUPINFO de Port Louis,,Zhezkazgan Baikonurov University,,,"'JPO','Salon etudiant','JoForum'",finish
Isabella,Kryzhov,ikryzhovy@tripod.com,Female,Yemen,+967 372 630 1678,33,12/3/2019,Maurice,Port Louis,SUPINFO de Port Louis,AKKA,Sana'a University,Interim,39,"'JPO','Salon etudiant','JoForum'",stop
Vernen,Bernardelli,vbernardelliz@tiny.cc,Male,Portugal,+351 940 609 4616,48,1/4/2012,Chine,Pekin,SUPINFO de Pekin,MRC,Instituto Superior Politécnico Gaya,CDD,59,"'JPO','Salon etudiant','JoForum'",stop
Dennie,Capsey,dcapsey10@sun.com,Female,Indonesia,+62 622 496 4965,50,6/2/2016,France,Lyon,SUPINFO de Lyon,,Universitas Sarjanawiyata Tamansiswa,,,"'JPO','Salon etudiant','JoForum'",continue
Scotti,Ivanenko,sivanenko11@wikia.com,Male,Portugal,+351 958 642 5630,26,27/6/2019,Reunion,Saint Denis,SUPINFO de Saint Denis,,Instituto Superior Politécnico Gaya,,,"'JPO','Salon etudiant','JoForum'",finish
Albert,Ernshaw,aernshaw12@woothemes.com,Male,China,+86 847 376 3611,38,22/8/2014,Belgique,Bruxelle,SUPINFO de Bruxelle,GFI,Chongqing University of Technology,CDI,39,"'JPO','Salon etudiant','JoForum'",continue
Garrek,Hanster,ghanster13@nps.gov,Male,Nigeria,+234 755 242 7584,20,16/12/2014,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,,Lagos City Polytechnic,,,"'JPO','Salon etudiant','JoForum'",stop
Reuven,Paragreen,rparagreen14@zdnet.com,Male,Czech Republic,+420 410 254 3836,47,5/3/2011,Belgique,Bruxelle,SUPINFO de Bruxelle,SOFTTEAMS,University of New York in Prague,CTT,34,"'JPO','Salon etudiant','JoForum'",stop
Gordie,Franklin,gfranklin15@mayoclinic.com,Male,Russia,+7 393 816 3116,48,21/5/2019,Chine,Pekin,SUPINFO de Pekin,,Ivanovo State University,,,"'JPO','Salon etudiant','JoForum'",finish
Marice,Minards,mminards16@salon.com,Female,China,+86 615 649 6489,14,6/5/2010,France,Tour,SUPINFO de Tour,,Capital Normal University,,,"'JPO','Salon etudiant','JoForum'",stop
Bailey,Aaronson,baaronson17@scribd.com,Male,Thailand,+66 233 819 8931,2,9/1/2019,Chine,Pekin,SUPINFO de Pekin,IUC,Mahidol University International College,Interim,69,"'JPO','Salon etudiant','JoForum'",stop
Caesar,Kremer,ckremer18@jugem.jp,Male,China,+86 607 126 5287,70,6/1/2014,Chine,Pekin,SUPINFO de Pekin,IBM,Buddhist Acamedy of China,Interim,5,"'JPO','Salon etudiant','JoForum'",continue
Gypsy,Cramphorn,gcramphorn19@sbwire.com,Female,Philippines,+63 958 745 4137,32,13/9/2020,Chine,Pekin,SUPINFO de Pekin,AFROLOGIX,University of Northern Philippines,Alternance,22,"'JPO','Salon etudiant','JoForum'",stop
Cherry,Croome,ccroome1a@house.gov,Female,Sweden,+46 489 205 0026,29,5/7/2018,France,Montpellier,SUPINFO de Montpellier,MICHELIN,University College of Trollhättan/Uddevalla,Alternance,74,"'JPO','Salon etudiant','JoForum'",finish
Dominick,Polamontayne,dpolamontayne1b@ovh.net,Male,China,+86 866 600 6569,33,8/4/2015,Chine,Pekin,SUPINFO de Pekin,MTN,Shanghai University of Finance and Economics,CTT,27,"'JPO','Salon etudiant','JoForum'",continue
Malvin,Gregorace,mgregorace1c@hao123.com,Male,Indonesia,+62 948 592 9541,66,27/2/2015,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,ABYSTER,Politeknik Negeri Semarang,CDI,24,"'JPO','Salon etudiant','JoForum'",continue
Melodee,Espinoy,mespinoy1d@cmu.edu,Female,Germany,+49 802 605 7760,54,3/4/2012,Belgique,Bruxelle,SUPINFO de Bruxelle,IBM,HWP - Hamburger Universität für Wirtschaft und Politik,Interim,61,"'JPO','Salon etudiant','JoForum'",continue
Jilly,Benedick,jbenedick1e@geocities.jp,Female,Burkina Faso,+226 904 124 7029,54,29/9/2011,Reunion,Saint Denis,SUPINFO de Saint Denis,ALL4TEST,Université de Ouagadougou,CDI,26,"'JPO','Salon etudiant','JoForum'",continue
Sharl,McCahey,smccahey1f@omniture.com,Female,China,+86 836 123 5855,58,7/4/2015,Maroc,Casablanca,SUPINFO de Casablanca,CONNEXTIC,Jilin Agricultural University,CTT,31,"'JPO','Salon etudiant','JoForum'",stop
Jordan,Dudenie,jdudenie1g@smugmug.com,Male,Poland,+48 620 739 6175,60,2/2/2019,Reunion,Saint Denis,SUPINFO de Saint Denis,ASI,Academy of Economics in Wroclaw,CTT,21,"'JPO','Salon etudiant','JoForum'",continue
Gaston,Seeds,gseeds1h@livejournal.com,Male,China,+86 746 311 0169,57,13/9/2015,Maurice,Port Louis,SUPINFO de Port Louis,ASTEK,Fujian Agricultural University,Alternance,61,"'JPO','Salon etudiant','JoForum'",continue
Fidelity,Fayne,ffayne1i@google.com,Female,Nigeria,+234 778 544 6232,19,1/1/2014,France,Lyon,SUPINFO de Lyon,ASTEK,"Federal University of Technology, Owerri",Interim,68,"'JPO','Salon etudiant','JoForum'",stop
Maureene,Conneely,mconneely1j@ning.com,Female,Indonesia,+62 284 179 5100,52,4/4/2013,Reunion,Saint Denis,SUPINFO de Saint Denis,,Universitas Kristen Satya Wacana,,,"'JPO','Salon etudiant','JoForum'",stop
Virgina,Raiment,vraiment1k@google.fr,Female,Nigeria,+234 292 851 4013,34,28/1/2020,France,Paris,SUPINFO de Paris,CDISCOUNT,Taraba State University,CTT,48,"'JPO','Salon etudiant','JoForum'",continue
Grata,Delacour,gdelacour1l@cloudflare.com,Female,Brazil,+55 134 538 7646,65,4/8/2018,Maurice,Port Louis,SUPINFO de Port Louis,ENELCAM,Universidade Gama Filho,Alternance,48,"'JPO','Salon etudiant','JoForum'",finish
Carmita,Destouche,cdestouche1m@newyorker.com,Female,China,+86 185 259 7708,67,18/12/2019,France,Clermont Ferrand,SUPINFO de Clermont Ferrand,ATOS,Northwest Polytechnical University Xi'an,CDD,62,"'JPO','Salon etudiant','JoForum'",finish
Ursuline,Passo,upasso1n@myspace.com,Female,Ireland,+353 628 141 4731,14,15/5/2014,Italie,Rome,SUPINFO de Rome,AMAZON,Royal College of Surgeons,Alternance,72,"'JPO','Salon etudiant','JoForum'",continue
Violet,Brownett,vbrownett1o@umn.edu,Female,Indonesia,+62 572 155 3950,64,24/7/2012,Maroc,Casablanca,SUPINFO de Casablanca,,Universitas Muhammadiyah Sumatra Utara,,,"'JPO','Salon etudiant','JoForum'",stop
Marilee,Coorington,mcoorington1p@yandex.ru,Female,Guatemala,+502 851 189 4392,5,14/3/2012,France,Tour,SUPINFO de Tour,SOFTTEAMS,Universidad Rural de Guatemala,Interim,57,"'JPO','Salon etudiant','JoForum'",finish
Brodie,Dockrill,bdockrill1q@blogtalkradio.com,Male,China,+86 931 763 3700,67,18/1/2020,Maroc,Casablanca,SUPINFO de Casablanca,AXXA,Huizhou University,Alternance,76,"'JPO','Salon etudiant','JoForum'",stop
Vitoria,Burgh,vburgh1r@amazonaws.com,Female,China,+86 586 753 4304,38,6/11/2016,France,Lyon,SUPINFO de Lyon,IUC,Wuhan University of Hydraulic and Electric Engineering,CDI,65,"'JPO','Salon etudiant','JoForum'",stop
Drusilla,Storcke,dstorcke1s@acquirethisname.com,Female,Iran,+98 757 887 2358,3,19/6/2013,Maurice,Port Louis,SUPINFO de Port Louis,SAFRAM,Shahrood University of Medical Sciences,CDI,31,"'JPO','Salon etudiant','JoForum'",finish
Jermaine,Favey,jfavey1t@nationalgeographic.com,Female,Philippines,+63 252 361 3544,6,23/1/2020,Reunion,Saint Denis,SUPINFO de Saint Denis,,Don Mariano Marcos Memorial State University,,,"'JPO','Salon etudiant','JoForum'",finish
Siobhan,Gasken,sgasken1u@bloglovin.com,Female,Cameroon,+237 850 512 0027,45,27/5/2020,Chine,Pekin,SUPINFO de Pekin,AFROLOGIX,Université de Dschang,Alternance,66,"'JPO','Salon etudiant','JoForum'",continue
Carlin,Baldock,cbaldock1v@issuu.com,Female,Yemen,+967 506 973 0394,15,6/11/2011,Maurice,Port Louis,SUPINFO de Port Louis,THALES,University of Science and Technology Sana'a,CDD,69,"'JPO','Salon etudiant','JoForum'",finish
Winslow,Rennicks,wrennicks1w@europa.eu,Male,China,+86 890 939 2220,46,29/11/2017,Italie,Rome,SUPINFO de Rome,AXXA,Tibet University of Nationalities,CDD,21,"'JPO','Salon etudiant','JoForum'",stop
Joachim,Woolnough,jwoolnough1x@disqus.com,Male,United States,+1 505 510 1735,32,29/9/2010,Chine,Pekin,SUPINFO de Pekin,ACCENTURE,Texas A&M University,CDD,36,"'JPO','Salon etudiant','JoForum'",stop
Rafaellle,Tomet,rtomet1y@unc.edu,Male,China,+86 302 708 1985,11,4/1/2012,Belgique,Bruxelle,SUPINFO de Bruxelle,MTN,Xiangtan Normal University,CTT,60,"'JPO','Salon etudiant','JoForum'",stop
Aigneis,Oughton,aoughton1z@wikimedia.org,Female,Poland,+48 674 285 1074,10,17/7/2016,Reunion,Saint Denis,SUPINFO de Saint Denis,ALTRAM,"Music Academy ""Felix Nowowiejski"" in Bydgoszcz",Alternance,77,"'JPO','Salon etudiant','JoForum'",stop
Tabbatha,Nial,tnial20@forbes.com,Female,China,+86 114 240 6596,2,26/8/2010,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,MTN,Heilongjiang Commercial University,Interim,74,"'JPO','Salon etudiant','JoForum'",finish
Verney,Whether,vwhether21@mit.edu,Male,Argentina,+54 278 351 5448,27,5/12/2010,Maurice,Port Louis,SUPINFO de Port Louis,IBM,Universidad Nacional de La Rioja,CDD,27,"'JPO','Salon etudiant','JoForum'",stop
Claudius,Marklund,cmarklund22@latimes.com,Male,Slovenia,+386 332 171 6914,64,13/9/2017,Belgique,Bruxelle,SUPINFO de Bruxelle,IUC,University of Primorska,CDI,15,"'JPO','Salon etudiant','JoForum'",continue
Ania,Rennison,arennison23@360.cn,Female,China,+86 127 595 5122,40,11/1/2018,Belgique,Bruxelle,SUPINFO de Bruxelle,,Guizhou Normal University,,,"'JPO','Salon etudiant','JoForum'",continue
Henderson,Polamontayne,hpolamontayne24@blog.com,Male,China,+86 535 321 9054,4,25/2/2016,Maurice,Port Louis,SUPINFO de Port Louis,SOGETI,University of Hydraulic Electric Engineering,Interim,27,"'JPO','Salon etudiant','JoForum'",stop
Mozes,Iacovaccio,miacovaccio25@prlog.org,Male,France,+33 848 671 8547,4,25/4/2018,Maurice,Port Louis,SUPINFO de Port Louis,FREE,Ecole Supérieure de Commerce de Lyon,Alternance,48,"'JPO','Salon etudiant','JoForum'",finish
Dael,Toward,dtoward26@dedecms.com,Male,Albania,+355 319 389 3809,18,6/7/2018,France,Grenoble,SUPINFO de Grenoble,CONNEXTIC,"University of Elbasan ""Aleksander Xhuvani""",Interim,10,"'JPO','Salon etudiant','JoForum'",continue
Mikey,Skuse,mskuse27@wix.com,Male,China,+86 903 240 1266,46,13/5/2014,France,Montpellier,SUPINFO de Montpellier,,Wenzhou Medical College,,,"'JPO','Salon etudiant','JoForum'",finish
Maribelle,Mowett,mmowett28@hostgator.com,Female,Argentina,+54 463 213 5307,5,20/6/2011,Reunion,Saint Denis,SUPINFO de Saint Denis,CONNEXTIC,Universidad Católica de Cuyo,CDI,61,"'JPO','Salon etudiant','JoForum'",continue
Archy,Boyat,aboyat29@amazon.de,Male,Malaysia,+60 264 372 1711,59,11/5/2019,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,ASI,"Institute of Teachers Education, Keningau",CDI,10,"'JPO','Salon etudiant','JoForum'",stop
Coraline,Greenhalgh,cgreenhalgh2a@wordpress.com,Female,Jamaica,+1 556 621 5994,66,14/4/2012,Chine,Pekin,SUPINFO de Pekin,,Northern Caribbean University,,,"'JPO','Salon etudiant','JoForum'",continue
Marnie,Meece,mmeece2b@nsw.gov.au,Female,Philippines,+63 427 347 1291,69,7/8/2019,France,Toulouse,SUPINFO de Toulouse,SAFRAM,Mariano Marcos State University,CDD,45,"'JPO','Salon etudiant','JoForum'",continue
Bo,Crookall,bcrookall2c@goo.ne.jp,Male,Sweden,+46 796 730 0884,26,11/4/2014,Maroc,Casablanca,SUPINFO de Casablanca,ALTRAM,Göteborg University,Interim,45,"'JPO','Salon etudiant','JoForum'",continue
Anselm,McNuff,amcnuff2d@tumblr.com,Male,China,+86 906 546 5893,70,26/7/2012,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,SAFRAM,Guangdong University of Technology,Interim,60,"'JPO','Salon etudiant','JoForum'",continue
Vlad,Clabburn,vclabburn2e@howstuffworks.com,Male,China,+86 197 690 4930,69,11/1/2020,Italie,Rome,SUPINFO de Rome,ATOS,Northwest Normal University Lanzhou,CTT,21,"'JPO','Salon etudiant','JoForum'",stop
Marylin,Colquhoun,mcolquhoun2f@nytimes.com,Female,Brazil,+55 987 591 7490,36,20/11/2010,France,Clermont Ferrand,SUPINFO de Clermont Ferrand,ENELCAM,Universidade Federal Rural do Semi-Árido,CTT,70,"'JPO','Salon etudiant','JoForum'",finish
Harri,Witheford,hwitheford2g@soup.io,Female,China,+86 539 953 5223,12,29/12/2018,Chine,Pekin,SUPINFO de Pekin,AKKA,South West University Yucai College,CDI,4,"'JPO','Salon etudiant','JoForum'",stop
Bridgette,Ruit,bruit2h@google.es,Female,China,+86 914 932 1686,32,12/9/2013,France,Montpellier,SUPINFO de Montpellier,GFI,South China University of Technology,Interim,66,"'JPO','Salon etudiant','JoForum'",continue
Evvy,Kensall,ekensall2i@artisteer.com,Female,Morocco,+212 987 274 4238,29,26/7/2012,Maroc,Casablanca,SUPINFO de Casablanca,ACCENTURE,Université Mohammed Ier,CDD,68,"'JPO','Salon etudiant','JoForum'",finish
Murray,Bigrigg,mbigrigg2j@ed.gov,Male,China,+86 808 513 1170,40,21/3/2015,Italie,Rome,SUPINFO de Rome,AKKA,Hebei University of Economics and Trade,Interim,16,"'JPO','Salon etudiant','JoForum'",continue
Lulu,Kesper,lkesper2k@cnn.com,Female,China,+86 958 226 1653,1,5/4/2020,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,AXXA,Lanzhou University,CTT,1,"'JPO','Salon etudiant','JoForum'",stop
Louie,Getsham,lgetsham2l@who.int,Male,China,+86 163 323 1466,27,16/8/2019,Chine,Pekin,SUPINFO de Pekin,,Tibet Agricultural and Animal Husbandry College,,,"'JPO','Salon etudiant','JoForum'",continue
Vernor,Wisedale,vwisedale2m@a8.net,Male,Brazil,+55 226 929 7826,47,26/11/2011,Reunion,Saint Denis,SUPINFO de Saint Denis,ALTRAM,Universidade Cruzeiro do Sul,Interim,27,"'JPO','Salon etudiant','JoForum'",stop
Juline,Strettle,jstrettle2n@theatlantic.com,Female,Afghanistan,+93 251 176 9423,15,26/1/2014,Belgique,Bruxelle,SUPINFO de Bruxelle,THALES,Dawat University,Interim,55,"'JPO','Salon etudiant','JoForum'",continue
Alick,Hegley,ahegley2o@yandex.ru,Male,Ukraine,+380 842 959 8573,55,27/1/2020,Chine,Pekin,SUPINFO de Pekin,ORACLE,Ukrainian National Forestry University,CDI,22,"'JPO','Salon etudiant','JoForum'",continue
Eddi,Costell,ecostell2p@blogspot.com,Female,China,+86 895 496 4962,7,2/11/2020,Reunion,Saint Denis,SUPINFO de Saint Denis,,Sichuan University,,,"'JPO','Salon etudiant','JoForum'",finish
Rafferty,Eatttok,reatttok2q@utexas.edu,Male,France,+33 260 293 7324,68,8/4/2020,Reunion,Saint Denis,SUPINFO de Saint Denis,ASI,Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie,Interim,51,"'JPO','Salon etudiant','JoForum'",continue
Adrian,Stellin,astellin2r@europa.eu,Male,Norway,+47 719 948 4549,68,26/10/2012,Maroc,Casablanca,SUPINFO de Casablanca,IBM,Norway's Information Technology University College,Interim,67,"'JPO','Salon etudiant','JoForum'",continue
Ericka,Titcomb,etitcomb2s@tmall.com,Female,France,+33 401 443 5158,16,28/3/2018,Belgique,Bruxelle,SUPINFO de Bruxelle,,Ecole Nationale Supérieure des Mines d'Alès,,,"'JPO','Salon etudiant','JoForum'",continue
Cece,Calveley,ccalveley2t@unblog.fr,Male,Argentina,+54 647 863 0980,42,4/4/2012,Reunion,Saint Denis,SUPINFO de Saint Denis,DIGIT CONCEPT,Universidad Católica de Córdoba,CTT,20,"'JPO','Salon etudiant','JoForum'",continue
Abdel,Zecchini,azecchini2u@comcast.net,Male,Brazil,+55 914 846 2185,41,19/9/2020,Reunion,Saint Denis,SUPINFO de Saint Denis,CONNEXTIC,Centro Universitário de Araraquara,CDI,33,"'JPO','Salon etudiant','JoForum'",continue
Ellery,Blackaller,eblackaller2v@wsj.com,Male,China,+86 580 621 9228,38,26/10/2017,Maurice,Port Louis,SUPINFO de Port Louis,,Nanjing Institute of Meteorology,,,"'JPO','Salon etudiant','JoForum'",continue
Woodrow,Lismore,wlismore2w@icq.com,Male,Brazil,+55 872 694 5317,25,17/8/2020,Maurice,Port Louis,SUPINFO de Port Louis,ORACLE,Universidade Federal Rural do Rio de Janeiro,CTT,46,"'JPO','Salon etudiant','JoForum'",continue
Janis,Bagehot,jbagehot2x@upenn.edu,Female,Canada,+1 901 161 8834,3,16/12/2019,Italie,Rome,SUPINFO de Rome,AXXA,Lansbridge University,CDD,11,"'JPO','Salon etudiant','JoForum'",stop
Portia,Kidwell,pkidwell2y@ustream.tv,Female,Indonesia,+62 473 612 4112,61,18/10/2013,Italie,Rome,SUPINFO de Rome,HUAWEI,Universitas Bojonegoro,Alternance,53,"'JPO','Salon etudiant','JoForum'",continue
Consolata,Giannotti,cgiannotti2z@ebay.com,Female,France,+33 529 771 9919,68,22/1/2016,Cameroun,Yaoundé-Ngousso,SUPINFO de Yaoundé-Ngousso,ADVENCE CAMEROUN,Institut National Supérieur de Formation Agro-Alimentaire,Interim,75,"'JPO','Salon etudiant','JoForum'",continue
Prentiss,Brisse,pbrisse30@simplemachines.org,Male,Japan,+81 228 251 9045,28,22/11/2011,Chine,Pekin,SUPINFO de Pekin,CAMTEL,Hiroshima Bunkyo Women's University,Alternance,57,"'JPO','Salon etudiant','JoForum'",stop
Ileane,Rowson,irowson31@bloglovin.com,Female,Armenia,+374 987 789 8726,18,3/12/2016,Italie,Rome,SUPINFO de Rome,ASTEK,State Engineering University of Armenia,Alternance,17,"'JPO','Salon etudiant','JoForum'",finish
Koral,Pinwill,kpinwill32@tinypic.com,Female,Brazil,+55 103 927 0712,24,23/5/2016,Reunion,Saint Denis,SUPINFO de Saint Denis,,Universidade Federal do Pará,,,"'JPO','Salon etudiant','JoForum'",finish
Ole,Shopcott,oshopcott33@altervista.org,Male,Philippines,+63 766 525 5159,69,7/1/2017,Maroc,Casablanca,SUPINFO de Casablanca,AFRIK-SOLUTION,Ateneo de Naga University,Interim,63,"'JPO','Salon etudiant','JoForum'",continue
Glory,Mainstone,gmainstone34@rakuten.co.jp,Female,Japan,+81 686 609 4434,11,6/4/2011,Maurice,Port Louis,SUPINFO de Port Louis,AMAZON,Takasaki City University of Economics,Alternance,67,"'JPO','Salon etudiant','JoForum'",continue
